{ }	U+0020	 	(NO-BREAK) SPACE (CHANGE TO ORDINARY SPACE, to keep is U+00A0)
{-}	U+2013	–	EN DASH
{nl}	U+0020	 	<control>  (NEW LINE, CHANGE TO SPACE)
{tab}	U+0009		<control>  (RETAIN TAB)
{e/}	U+00E9	é	LATIN SMALL LETTER E WITH ACUTE
{kriz}	U+2020	†	DAGGER
{a/}	U+00E1	á	LATIN SMALL LETTER A WITH ACUTE
{par}	U+0020	 	Paragraph  (CHANGE TO SPACE)
{i/}	U+00ED	í	LATIN SMALL LETTER I WITH ACUTE
{o/}	U+00F3	ó	LATIN SMALL LETTER O WITH ACUTE
{u:}	U+00FC	ü	LATIN SMALL LETTER U WITH DIAERESIS
{%e}	U+0259	ə	LATIN SMALL LETTER SCHWA
{$1}	-	-	Removes 19 from preceding year (REMOVE)
{,}	U+2019	’	RIGHT SINGLE QUOTATION MARK
{%,}	U+201A	‚	SINGLE LOW-9 QUOTATION MARK
{>>}	U+00BB	»	RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
{<<}	U+00AB	«	LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
{o:}	U+00F6	ö	LATIN SMALL LETTER O WITH DIAERESIS
{u/}	U+00FA	ú	LATIN SMALL LETTER U WITH ACUTE
{e^}	U+00EA	ê	LATIN SMALL LETTER E WITH CIRCUMFLEX
{~}	U+007E	~	TILDE
{crta}	-	-	Horizontal LINE (REMOVE)
{o}	U+00B0	°	DEGREE SIGN
{a:}	U+00E4	ä	LATIN SMALL LETTER A WITH DIAERESIS
{u %u}	u,U+032F	u̯	LATIN SMALL LETTER U + COMBINING INVERTED BREVE BELOW
{a-}	U+0101	ā	LATIN SMALL LETTER A WITH MACRON
{e\}	U+00E8	è	LATIN SMALL LETTER E WITH GRAVE
{$13}	-	-	No idea what this does (REMOVE)
{ss}	U+00DF	ß	LATIN SMALL LETTER SHARP S
{o^}	U+00F4	ô	LATIN SMALL LETTER O WITH CIRCUMFLEX
{R}	U+00AE	®	REGISTERED SIGN
{$14}	-	-	No idea what this does (REMOVE)
{c ,}	U+00E7	ç	LATIN SMALL LETTER C WITH CEDILLA
{o*/}	U+00F8	ø	LATIN SMALL LETTER O WITH STROKE
{l*/}	U+0142	ł	LATIN SMALL LETTER L WITH STROKE
{E/}	U+00C9	É	LATIN CAPITAL LETTER E WITH ACUTE
{.}	U+00B7	·	MIDDLE DOT
{i-}	U+012B	ī	LATIN SMALL LETTER I WITH MACRON
{$11}	-	-	No idea what this does (REMOVE)
{s ,}	U+015F	ş	LATIN SMALL LETTER S WITH CEDILLA
{a~}	U+00E3	ã	LATIN SMALL LETTER A WITH TILDE
{a^}	U+00E2	â	LATIN SMALL LETTER A WITH CIRCUMFLEX
{$9}	-	-	No idea what this does (REMOVE)
{ao}	U+00E5	å	LATIN SMALL LETTER A WITH RING ABOVE
{u-}	U+016B	ū	LATIN SMALL LETTER U WITH MACRON
{pika}	U+00B7	·	MIDDLE DOT
{O:}	U+00D6	Ö	LATIN CAPITAL LETTER O WITH DIAERESIS
{krat}	U+00D7	×	MULTIPLICATION SIGN
{$3}	-	-	No idea what this does (REMOVE)
{$15}	-	-	No idea what this does (REMOVE)
{%e\}	U+0259,U+0301	ə́	LATIN SMALL LETTER SCHWA + COMBINING ACUTE ACCENT
{e:}	U+00EB	ë	LATIN SMALL LETTER E WITH DIAERESIS
{n~}	U+00F1	ñ	LATIN SMALL LETTER N WITH TILDE
{$10}	-	-	No idea what this does (REMOVE)
{alfa}	U+03B1	α	GREEK SMALL LETTER ALPHA
{ro}	U+03C1	ρ	GREEK SMALL LETTER RHO
{i}	U+0131	ı	LATIN SMALL LETTER DOTLESS I
{...}	U+2026	…	HORIZONTAL ELLIPSIS
{rv}	U+0159	ř	LATIN SMALL LETTER R WITH CARON
{a\}	U+00E0	à	LATIN SMALL LETTER A WITH GRAVE
{mikro}	U+03BC	μ	GREEK SMALL LETTER MU
{y/}	U+00FD	ý	LATIN SMALL LETTER Y WITH ACUTE
{t ,}	U+0163	ţ	LATIN SMALL LETTER T WITH CEDILLA
